sex,gender,race,ethnicity,approved,income,credit_score,transaction_count,debt_ratio,account_balance,loan_amount,audit_log,explanation,timestamp
Male,Male,White,Non-Hispanic,0,83366.48455680272,801.3195369496857,394,0.9532275917685009,6856.367833610966,23523.62158577718,Yes,High,2023-01-28
Male,Female,Asian,Non-Hispanic,1,70419.42020363385,708.0077107527965,367,0.372310903180211,36215.57650110291,31301.357773348205,Yes,High,2023-01-29
Male,Male,Black,Non-Hispanic,0,70740.84331666608,682.8702801069546,374,0.8443966718814903,17765.89430403709,14333.568294464214,Yes,High,2023-01-30
Male,Female,Hispanic,Non-Hispanic,0,79599.89319454528,624.0461631095279,48,0.959946945284518,12480.588870479334,13972.665243629053,Yes,High,2023-01-31
Female,Female,Hispanic,Non-Hispanic,1,79206.44633663642,608.4671387774264,50,0.47722183880065294,46962.26446197861,25820.42178431426,Yes,High,2023-02-01
Female,Male,Hispanic,Non-Hispanic,0,77409.10851858211,824.9272389488103,254,0.0643591949675596,11407.264324768312,42007.84603705816,Yes,High,2023-02-02
Male,Female,Asian,Hispanic,1,67262.47550329323,659.2267323039526,19,0.28205313342630456,21738.80416301602,29632.01714753034,Yes,High,2023-02-03
Male,Female,White,Non-Hispanic,0,54047.85486173168,714.3966031693774,461,0.13114539330768582,22584.444363730145,22990.031935130377,Yes,High,2023-02-04
Male,Male,Hispanic,Hispanic,1,74531.65944802205,825.3036301672308,431,0.2568533137631154,48072.32149378617,26837.48594379674,Yes,High,2023-02-05
Female,Male,Asian,Non-Hispanic,1,62686.18565442043,815.1440772550418,430,0.7296898937485041,32646.047991477946,48411.77753750059,Yes,High,2023-02-06
Female,Male,Black,Non-Hispanic,0,82881.60888922648,714.4433611622801,31,0.9908532238092945,34728.532702982695,27556.587469579084,Yes,High,2023-02-07
Female,Female,Black,Hispanic,1,57969.369696932496,756.4090131964294,244,0.6660997267895137,16181.268192156193,6760.330852087546,Yes,Medium,2023-02-08
Male,Male,White,Hispanic,1,69891.95164095382,772.8002317103849,245,0.08015681003105224,38402.1579326227,33239.89774216182,Yes,High,2023-02-09
Male,Male,Hispanic,Non-Hispanic,1,68446.21540019232,699.1942739013563,338,0.6073418703073751,48702.979875979494,31412.719718826444,Yes,Low,2023-02-10
Male,Male,Black,Hispanic,0,71080.16806724336,799.9595934276055,169,0.2279224061886449,8921.388500157447,9189.039325683425,Yes,High,2023-02-11
Male,Female,Black,Hispanic,0,59360.69175263468,677.5574968411458,245,0.5204295214136027,8552.4289804328,38684.29318973103,Yes,High,2023-02-12
Female,Female,Asian,Hispanic,0,67695.1274094887,787.4188194679109,468,0.9576839923551994,27802.98074763265,31835.69468839342,Yes,High,2023-02-13
Female,Male,White,Hispanic,1,55209.2949315671,675.4586193845116,358,0.13776598599676337,44680.381934813355,36901.180195492474,No,Medium,2023-02-14
Male,Female,Hispanic,Hispanic,1,91242.61896651363,659.704659525773,224,0.453811421509992,27530.13797088795,37527.38420770988,Yes,High,2023-02-15
Female,Female,Asian,Non-Hispanic,0,66149.93301776923,743.0538909134782,469,0.7677000034256224,25417.50876122553,39606.92259270684,Yes,Medium,2023-02-16
Male,Male,Black,Non-Hispanic,1,94957.57320567504,715.5462538710295,383,0.3005239085850929,48397.60724163447,21571.113330539993,Yes,High,2023-02-17
Female,Female,White,Non-Hispanic,0,82105.38825287962,775.9526283195928,482,0.18513267229107888,3488.6974706026303,31325.36829227332,Yes,High,2023-02-18
Male,Female,Black,Non-Hispanic,1,53164.27772601614,625.1974660739766,147,0.19560912272703945,48212.30421494839,46777.76897951978,Yes,High,2023-02-19
Male,Male,Black,Hispanic,1,83957.74428683985,744.2388831413843,246,0.3767614107013061,47238.89701853541,34761.95795379635,Yes,High,2023-02-20
Female,Male,White,Non-Hispanic,1,57791.81987700412,674.1269760799204,482,0.49017015750087367,44164.04005211351,32848.37228045416,Yes,High,2023-02-21
Male,Male,Black,Non-Hispanic,1,87219.67160273776,762.41212475737,96,0.7443819250843825,3898.3806436633977,43470.13721909565,Yes,High,2023-02-22
Female,Male,White,Hispanic,1,61256.71058286411,811.9962940308852,157,0.6169434580225963,5468.631924648169,22038.759002357612,No,Low,2023-02-23
Male,Female,White,Non-Hispanic,1,59774.99573375017,822.7291006196087,284,0.1359809625981323,39238.77724885809,7129.260933837351,Yes,Medium,2023-02-24
Male,Female,Hispanic,Hispanic,1,55987.360244140145,757.7731314184168,341,0.7652991417293801,45467.45202194669,12543.584809614684,Yes,Medium,2023-02-25
Female,Female,Hispanic,Non-Hispanic,1,71726.37995312952,807.4795611463513,259,0.9526540723050353,1818.8335556829652,35890.62256932483,Yes,High,2023-02-26
Male,Male,White,Hispanic,1,57600.88348667466,683.8442717834099,495,0.3363469829475537,20439.318014525998,35190.65819400721,No,High,2023-02-27
Male,Male,Hispanic,Hispanic,0,70278.43938845427,682.5634697018489,33,0.31751657290296265,20021.55782315272,6837.264605134303,Yes,High,2023-02-28
Male,Female,Asian,Non-Hispanic,0,64300.12424483589,799.3745202952565,47,0.5113900424650673,15146.390526392743,38246.96347060659,Yes,High,2023-03-01
Female,Male,Asian,Hispanic,0,74638.07923039408,639.9297349686026,230,0.9723427899936912,16284.794860787435,28749.463444919296,Yes,Low,2023-03-02
Female,Female,Black,Hispanic,0,65593.42206336079,693.4896570821695,353,0.950873991832749,17545.057775598045,47982.519419059056,Yes,High,2023-03-03
Female,Female,Asian,Non-Hispanic,0,84459.00822758421,768.0809225949495,499,0.5261829387887103,30171.80657725952,6780.800344738718,Yes,Medium,2023-03-04
Male,Male,Asian,Hispanic,0,60354.057512816755,628.4820783500406,276,0.2007805364067924,23381.384561716448,26006.822786638615,Yes,High,2023-03-05
Male,Female,White,Non-Hispanic,0,75980.1394726479,775.9331651022482,19,0.4912150999006959,29479.59891774522,14060.815468243332,Yes,High,2023-03-06
Male,Female,Hispanic,Non-Hispanic,0,54145.37053722989,846.1570861484878,283,0.15714215336035464,10598.15702083213,35154.48865671087,Yes,High,2023-03-07
Female,Female,Asian,Hispanic,1,75180.20150655598,619.9885474533925,22,0.47354539608257185,42938.140786214935,46629.05514358125,Yes,High,2023-03-08
Female,Female,Black,Hispanic,1,79329.53966623069,681.6766261236578,17,0.41577622508242673,12530.378069500508,21811.39381706975,Yes,High,2023-03-09
Male,Female,White,Non-Hispanic,0,74890.88825223138,746.6033555004593,238,0.2976523017189717,7262.609815207549,17900.338947829085,No,High,2023-03-10
Female,Female,White,Hispanic,0,61216.037123953865,832.6734122444542,144,0.7122248371469404,47358.88161266071,10696.370416796237,Yes,High,2023-03-11
Female,Female,Black,Non-Hispanic,0,71729.47014518587,652.8079418846523,493,0.8437219131653985,45597.83721056912,15181.939644058937,Yes,High,2023-03-12
Female,Female,Hispanic,Hispanic,1,71298.61287248645,745.7590418802696,117,0.7598328275216466,36570.02226711948,44949.218839553425,Yes,High,2023-03-13
Female,Female,Black,Hispanic,1,68103.47120963034,659.0739151841373,281,0.3119922129527979,22256.228343338396,19575.350491780468,Yes,High,2023-03-14
Male,Female,Black,Non-Hispanic,0,71682.98609028802,699.1997772832316,173,0.9093636749216197,47962.44492194681,40908.67768877394,Yes,High,2023-03-15
Male,Female,Asian,Hispanic,1,57279.95027105021,847.8211822924089,416,0.49751528442084547,10078.388814607511,22072.49973453453,Yes,High,2023-03-16
Male,Male,Hispanic,Non-Hispanic,1,74286.62008655579,615.2479869042196,417,0.8070848917859235,15988.334928880482,35772.78040928462,No,High,2023-03-17
Female,Male,Hispanic,Hispanic,0,69904.00628696618,831.6556233667536,87,0.2623989778356536,14637.846226458572,37690.35827302348,Yes,High,2023-03-18
Male,Female,Hispanic,Hispanic,1,61031.59812786877,760.8493134762679,125,0.9227637555870764,11828.965774197073,25591.467781687756,Yes,High,2023-03-19
Female,Male,Hispanic,Hispanic,0,57608.526663822355,782.3976557341831,403,0.5644691487026939,19466.527160832822,7809.705511602461,Yes,High,2023-03-20
Male,Female,Hispanic,Hispanic,1,63185.61288216493,804.5525161305669,174,0.20980073337937066,19821.724194571718,42052.032770656944,Yes,Medium,2023-03-21
Male,Female,White,Hispanic,1,55598.85983256961,737.290784922285,22,0.11825327389435725,5873.019218602459,16104.576397186764,Yes,High,2023-03-22
Female,Female,Hispanic,Hispanic,0,53895.64172229657,770.7660682736152,452,0.21336467566185213,31719.706703684875,16499.25275389931,No,High,2023-03-23
Female,Male,Hispanic,Non-Hispanic,1,66427.01440650894,722.430424321628,457,0.007975307858616665,7018.722955551338,25531.165108315803,Yes,High,2023-03-24
Male,Female,White,Non-Hispanic,0,73627.78868504342,760.3641182075223,211,0.09214891773943568,6733.525588352388,29219.525620511347,Yes,High,2023-03-25
Male,Male,White,Hispanic,0,83653.60675700265,786.8503555862073,245,0.8042207911665304,18143.15413928692,44477.477320411585,Yes,High,2023-03-26
Female,Female,Asian,Hispanic,1,50430.60799968123,736.0853126435097,198,0.7402768433156124,14486.547498763903,35323.69334003462,Yes,High,2023-03-27
Female,Female,Hispanic,Non-Hispanic,1,92498.95213792281,732.7156892056324,426,0.7364484265294826,1429.3321146948758,24435.47023760842,Yes,High,2023-03-28
Female,Female,Black,Hispanic,0,84315.35661451345,629.4213241515818,114,0.6914188975900312,39246.77849460249,25276.60216064717,Yes,Low,2023-03-29
Male,Male,Asian,Hispanic,1,68525.97675844004,619.2987987801596,136,0.8544381467769295,9768.379945981465,24241.028317739852,Yes,High,2023-03-30
Male,Female,White,Hispanic,0,86495.4975400337,670.3473932935334,53,0.8902087194158054,6659.6768855512655,10088.306520001595,Yes,High,2023-03-31
Male,Male,Black,Non-Hispanic,1,82944.38156096949,730.8940907006444,170,0.28064752548193683,44946.62163287554,48473.38332015252,Yes,High,2023-04-01
Male,Female,Hispanic,Non-Hispanic,0,60201.3281347375,602.1198587801795,315,0.6022713599375319,33089.23441097498,30614.56682424793,Yes,High,2023-04-02
Female,Female,Asian,Hispanic,1,73153.22300156232,670.4948770090829,381,0.16892901478133182,31521.671672316,25188.067907672452,Yes,Low,2023-04-03
Female,Male,White,Non-Hispanic,1,68925.2484723513,661.5300211733712,393,0.7990967403847482,16031.415047726503,5033.365554641903,No,High,2023-04-04
Male,Female,White,Hispanic,1,65353.91222631352,679.3882891221334,111,0.0004832852268444876,24074.968345231042,49488.369420751806,Yes,High,2023-04-05
Female,Male,Hispanic,Non-Hispanic,1,66649.50518071372,835.1753475647185,62,0.2911636045794571,47236.711828153995,42790.1845563831,Yes,High,2023-04-06
Female,Male,Hispanic,Non-Hispanic,0,76565.82568198143,794.4345942367206,50,0.8133296606818783,42279.66096698208,10874.22877947815,Yes,Medium,2023-04-07
Female,Female,White,Non-Hispanic,1,49968.73227436164,704.9350890994035,199,0.6610362416476627,41840.91220993988,44227.82342128887,Yes,High,2023-04-08
Male,Female,Black,Non-Hispanic,0,77260.22160101369,837.5900482347356,72,0.4163373756461579,24848.974389358875,28797.590122673795,Yes,Medium,2023-04-09
Female,Female,Hispanic,Hispanic,0,82651.92316041343,754.2353754796579,350,0.44804970212389394,47028.827193796365,7885.088475764525,Yes,High,2023-04-10
